Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	
Cliente3	18/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente21	18/09/2017	4	1500	VER0038	Pimentón Rojo / Libra	
Cliente21	18/09/2017	16	1000	VER0052	Plátano Maduro / Libra	
Cliente21	18/09/2017	4	7000	VER0016	Champiñón / Libra	
Cliente21	18/09/2017	4	1900	VER0009	Brócoli / Libra	
Cliente21	18/09/2017	8	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente21	18/09/2017	1	1100	VER0005	Apio / Libra	
Cliente21	18/09/2017	4	700	TUB0006	Papa Pastusa / Libra	
Cliente21	18/09/2017	2	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente21	18/09/2017	16	1300	FRU0046	Tomate Chonto / Libra	
Cliente21	18/09/2017	1	2100	FRU0033	Mora Castilla / Libra	
Cliente21	18/09/2017	6	1300	FRU0030	Manzana Verde / Unidad	
Cliente21	18/09/2017	3	1200	FRU0024	Limón Tahití / Libra	
Cliente21	18/09/2017	2	2300	FRU0054	Fresa Grande / Libra	
Cliente21	18/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	
Cliente21	18/09/2017	16	1100	FRU0008	Banano Criollo / Libra	
Cliente21	18/09/2017	2	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente27	18/09/2017	50	700	VER0006	Ahuyama / Libra	
Cliente29	17/09/2017	1	900	VER0035	Pepino Cohombro / Libra	
Cliente29	17/09/2017	1	1500	FRU0016	Fresa Pareja / Libra	
Cliente29	17/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente29	17/09/2017	2	1200	FRU0024	Limón Tahití / Libra	
Cliente29	17/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente29	17/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	17/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	
Cliente26	17/09/2017	4	1600	VER0041	Puerro / Libra	
Cliente26	17/09/2017	24	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	17/09/2017	6	1100	VER0010	Zucchini Verde / Libra	
Cliente26	17/09/2017	100	1000	VER0052	Plátano Maduro / Libra	
Cliente26	17/09/2017	8	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente26	17/09/2017	22	1000	TUB0012	Zanahoria / Libra	
Cliente26	17/09/2017	50	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	16/09/2017	1	2100	FRU0033	Mora Castilla / Libra	
Cliente29	16/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente29	16/09/2017	2	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	16/09/2017	8	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	16/09/2017	4	7000	VER0016	Champiñón / Libra	
Cliente29	16/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	16/09/2017	2	3500	VER0043	Repollo Morado / Unidad	
Cliente3	16/09/2017	2	1500	VER0038	Pimentón Rojo / Libra	
Cliente3	16/09/2017	2	800	VER0037	Perejil Liso / 100 gramos	
Cliente3	16/09/2017	3	900	VER0035	Pepino Cohombro / Libra	
Cliente3	16/09/2017	3	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	16/09/2017	2	1400	VER0020	Espinaca / Libra	
Cliente3	16/09/2017	4	7000	VER0016	Champiñón / Libra	
Cliente3	16/09/2017	5	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente3	16/09/2017	4	1900	VER0009	Brócoli / Libra	
Cliente3	16/09/2017	3	1200	VER0007	Berenjena / Libra	
Cliente3	16/09/2017	2	1100	VER0005	Apio / Libra	
Cliente3	16/09/2017	6	900	VER0003	Albahaca / 100 gramos	
Cliente3	16/09/2017	1	5800	VER0002	Ajo Importado / Libra	
Cliente3	16/09/2017	5	1000	TUB0012	Zanahoria / Libra	
Cliente3	16/09/2017	3	1000	TUB0008	Papa Sabanera / Libra	
Cliente3	16/09/2017	2	1000	TUB0001	Arracacha / Libra	
Cliente3	16/09/2017	4	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente3	16/09/2017	10	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	16/09/2017	3	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	16/09/2017	1	650	FRU0034	Naranja Sweety / Libra	
Cliente3	16/09/2017	3	1200	FRU0024	Limón Tahití / Libra	
Cliente3	16/09/2017	3	1000	FRU0020	Guayaba Pera / Libra	
Cliente3	16/09/2017	4	1100	FRU0008	Banano Criollo / Libra	
Cliente3	16/09/2017	4	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente16	15/09/2017	10	4000	FRU0005	Ají Jalapeño / Libra	
Cliente16	15/09/2017	10	2300	FRU0002	Aguacate Haas / Libra	
Cliente21	14/09/2017	1	1000	TUB0001	Arracacha / Libra	
Cliente21	14/09/2017	1	1300	TUB0005	Papa Criolla / Libra	
Cliente21	14/09/2017	1	1300	FRU0046	Tomate Chonto / Libra	
Cliente21	14/09/2017	1	1000	TUB0012	Zanahoria / Libra	
Cliente21	14/09/2017	1	2800	FRU0014	Durazno / Libra	
Cliente21	14/09/2017	2	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente21	14/09/2017	4	1000	FRU0020	Guayaba Pera / Libra	
Cliente21	14/09/2017	4	1500	FRU0016	Fresa Pareja / Libra	
Cliente21	14/09/2017	2	1100	FRU0008	Banano Criollo / Libra	
Cliente21	14/09/2017	1	1300	VER0024	Habichuela / Libra	
Cliente21	14/09/2017	5	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente21	14/09/2017	1	1600	VER0041	Puerro / Libra	
Cliente21	14/09/2017	1	1100	VER0010	Zucchini Verde / Libra	
Cliente21	14/09/2017	1	1100	VER0050	Rúgula / Libra	
Cliente21	14/09/2017	2	3500	VER0043	Repollo Morado / Unidad	
Cliente21	14/09/2017	1	1500	VER0038	Pimentón Rojo / Libra	
Cliente21	14/09/2017	10	1000	VER0052	Plátano Maduro / Libra	
Cliente21	14/09/2017	1	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente21	14/09/2017	16	700	VER0006	Ahuyama / Libra	
Cliente29	13/09/2017	4	900	VER0035	Pepino Cohombro / Libra	
Cliente29	13/09/2017	9	1400	VER0028	Lechuga Crespa / Unidad	
Cliente29	13/09/2017	12	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	13/09/2017	4	7000	VER0016	Champiñón / Libra	
Cliente29	13/09/2017	1	4500	FRU0032	Melón / Unidad	
Cliente29	13/09/2017	2	1000	FRU0020	Guayaba Pera / Libra	
Cliente29	13/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	
Cliente29	13/09/2017	1	1400	FRU0013	Curuba / Libra	
Cliente3	13/09/2017	3	1100	FRU0008	Banano Criollo / Libra	
Cliente3	13/09/2017	1	1500	VER0038	Pimentón Rojo / Libra	
Cliente3	13/09/2017	1	800	VER0037	Perejil Liso / 100 gramos	
Cliente3	13/09/2017	2	900	VER0035	Pepino Cohombro / Libra	
Cliente3	13/09/2017	4	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	13/09/2017	1	1400	VER0020	Espinaca / Libra	
Cliente3	13/09/2017	1	500	VER0017	Cilantro / 100 gramos	
Cliente3	13/09/2017	2	7000	VER0016	Champiñón / Libra	
Cliente3	13/09/2017	1	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente3	13/09/2017	1	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente3	13/09/2017	1	1900	VER0009	Brócoli / Libra	
Cliente3	13/09/2017	2	1200	VER0007	Berenjena / Libra	
Cliente3	13/09/2017	3	1100	VER0005	Apio / Libra	
Cliente3	13/09/2017	8	700	VER0006	Ahuyama / Libra	
Cliente3	13/09/2017	3	1000	TUB0012	Zanahoria / Libra	
Cliente3	13/09/2017	1	1300	TUB0005	Papa Criolla / Libra	
Cliente3	13/09/2017	15	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	13/09/2017	1	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	13/09/2017	1	1200	FRU0024	Limón Tahití / Libra	
Cliente3	13/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente26	13/09/2017	10	1300	FRU0046	Tomate Chonto / Libra	
Cliente26	13/09/2017	1	5800	VER0002	Ajo Importado / Libra	
Cliente26	13/09/2017	3	500	VER0017	Cilantro / 100 gramos	
Cliente26	13/09/2017	10	1200	VER0014	Cebolla Larga / Libra	
Cliente26	13/09/2017	4	1200	VER0007	Berenjena / Libra	
Cliente26	13/09/2017	6	1600	VER0041	Puerro / Libra	
Cliente26	13/09/2017	23	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	13/09/2017	14	1100	VER0010	Zucchini Verde / Libra	
Cliente26	13/09/2017	50	1000	VER0052	Plátano Maduro / Libra	
Cliente26	13/09/2017	24	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente26	13/09/2017	30	1000	TUB0012	Zanahoria / Libra	
Cliente26	13/09/2017	60	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente11	12/09/2017	6	1000	VER0052	Plátano Maduro / Libra	
Cliente11	12/09/2017	10	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente11	12/09/2017	10	900	FRU0029	Manzana Roja / Unidad	
Cliente11	12/09/2017	3	1500	FRU0016	Fresa Pareja / Libra	
Cliente11	12/09/2017	6	1100	FRU0008	Banano Criollo / Libra	
Cliente26	11/09/2017	1	650	FRU0034	Naranja Sweety / Libra	
Cliente26	11/09/2017	4	1600	VER0041	Puerro / Libra	
Cliente26	11/09/2017	10	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	11/09/2017	6	1100	VER0010	Zucchini Verde / Libra	
Cliente26	11/09/2017	20	1000	VER0052	Plátano Maduro / Libra	
Cliente26	11/09/2017	8	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente3	11/09/2017	2	3500	VER0043	Repollo Morado / Unidad	
Cliente3	11/09/2017	2	900	VER0035	Pepino Cohombro / Libra	
Cliente3	11/09/2017	1	800	VER0037	Perejil Liso / 100 gramos	
Cliente3	11/09/2017	3	1500	VER0038	Pimentón Rojo / Libra	
Cliente3	11/09/2017	3	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	11/09/2017	2	1400	VER0020	Espinaca / Libra	
Cliente3	11/09/2017	1	500	VER0017	Cilantro / 100 gramos	
Cliente3	11/09/2017	2	7000	VER0016	Champiñón / Libra	
Cliente3	11/09/2017	2	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente3	11/09/2017	2	1900	VER0009	Brócoli / Libra	
Cliente3	11/09/2017	5	1200	VER0007	Berenjena / Libra	
Cliente3	11/09/2017	2	1100	VER0005	Apio / Libra	
Cliente3	11/09/2017	2	900	VER0003	Albahaca / 100 gramos	
Cliente3	11/09/2017	6	1000	TUB0012	Zanahoria / Libra	
Cliente3	11/09/2017	1	1400	TUB0010	Remolacha / Libra	
Cliente3	11/09/2017	3	1300	TUB0005	Papa Criolla / Libra	
Cliente3	11/09/2017	5	700	TUB0006	Papa Pastusa / Libra	
Cliente3	11/09/2017	2	1000	TUB0001	Arracacha / Libra	
Cliente3	11/09/2017	3	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente3	11/09/2017	3	1500	FRU0016	Fresa Pareja / Libra	
Cliente3	11/09/2017	2	2100	FRU0033	Mora Castilla / Libra	
Cliente3	11/09/2017	3	2800	FRU0028	Mango Tommy Atkins / Libra	
Cliente3	11/09/2017	8	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	11/09/2017	2	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	11/09/2017	2	1200	FRU0024	Limón Tahití / Libra	
Cliente3	11/09/2017	3	1100	FRU0008	Banano Criollo / Libra	
Cliente3	11/09/2017	4	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente21	11/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	
Cliente21	11/09/2017	6	1100	VER0050	Rúgula / Libra	
Cliente21	11/09/2017	2	1100	VER0033	Mazorca en Vaina / Unidad	
Cliente21	11/09/2017	1	1600	VER0041	Puerro / Libra	
Cliente21	11/09/2017	1	1900	TUB0009	Rábano Rojo / Libra	
Cliente21	11/09/2017	1	3500	VER0043	Repollo Morado / Unidad	
Cliente21	11/09/2017	3	700	TUB0006	Papa Pastusa / Libra	
Cliente21	11/09/2017	2	1300	TUB0005	Papa Criolla / Libra	
Cliente21	11/09/2017	6	700	VER0006	Ahuyama / Libra	
Cliente21	11/09/2017	22	1000	VER0052	Plátano Maduro / Libra	
Cliente21	11/09/2017	1	1000	TUB0001	Arracacha / Libra	
Cliente21	11/09/2017	2	1100	VER0005	Apio / Libra	
Cliente21	11/09/2017	1	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente21	11/09/2017	1	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente21	11/09/2017	4	2800	FRU0028	Mango Tommy Atkins / Libra	
Cliente21	11/09/2017	2	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente21	11/09/2017	1	1200	VER0014	Cebolla Larga / Libra	
Cliente21	11/09/2017	8	1100	FRU0008	Banano Criollo / Libra	
Cliente21	11/09/2017	1	2100	FRU0033	Mora Castilla / Libra	
Cliente21	11/09/2017	6	1500	FRU0016	Fresa Pareja / Libra	
Cliente21	11/09/2017	12	1000	TUB0012	Zanahoria / Libra	
Cliente21	11/09/2017	12	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente21	11/09/2017	2	1200	FRU0024	Limón Tahití / Libra	
Cliente21	11/09/2017	14	1500	VER0038	Pimentón Rojo / Libra	
Cliente21	11/09/2017	6	1100	VER0010	Zucchini Verde / Libra	
Cliente21	11/09/2017	2	7000	VER0016	Champiñón / Libra	
Cliente21	11/09/2017	20	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	09/09/2017	2	1400	TUB0010	Remolacha / Libra	
Cliente3	09/09/2017	1	4500	VER0050	Rúgula / Libra	
Cliente3	09/09/2017	3	3500	VER0043	Repollo Morado / Unidad	
Cliente3	09/09/2017	4	1500	VER0038	Pimentón Rojo / Libra	
Cliente3	09/09/2017	1	800	VER0037	Perejil Liso / 100 gramos	
Cliente3	09/09/2017	4	900	VER0035	Pepino Cohombro / Libra	
Cliente3	09/09/2017	3	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	09/09/2017	2	1400	VER0020	Espinaca / Libra	
Cliente3	09/09/2017	2	500	VER0017	Cilantro / 100 gramos	
Cliente3	09/09/2017	3	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente3	09/09/2017	1	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente3	09/09/2017	3	1900	VER0009	Brócoli / Libra	
Cliente3	09/09/2017	7	1200	VER0007	Berenjena / Libra	
Cliente3	09/09/2017	5	900	VER0003	Albahaca / 100 gramos	
Cliente3	09/09/2017	8	1000	TUB0012	Zanahoria / Libra	
Cliente3	09/09/2017	4	700	TUB0006	Papa Pastusa / Libra	
Cliente3	09/09/2017	2	1000	TUB0001	Arracacha / Libra	
Cliente3	09/09/2017	4	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente3	09/09/2017	10	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	09/09/2017	3	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	09/09/2017	3	1200	FRU0024	Limón Tahití / Libra	
Cliente3	09/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente26	08/09/2017	2	500	VER0017	Cilantro / 100 gramos	
Cliente26	08/09/2017	8	1200	VER0014	Cebolla Larga / Libra	
Cliente26	08/09/2017	16	1100	VER0010	Zucchini Verde / Libra	
Cliente26	08/09/2017	22	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente26	08/09/2017	60	1000	VER0052	Plátano Maduro / Libra	
Cliente26	08/09/2017	10	1000	TUB0012	Zanahoria / Libra	
Cliente26	08/09/2017	20	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	08/09/2017	50	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	08/09/2017	1	2100	FRU0033	Mora Castilla / Libra	
Cliente29	08/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente29	08/09/2017	2	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	08/09/2017	8	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	08/09/2017	4	7000	VER0016	Champiñón / Libra	
Cliente29	08/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	
Cliente29	08/09/2017	1	1400	FRU0013	Curuba / Libra	
Cliente29	08/09/2017	1	800	TUB0004	Jengibre / 100 gramos	
Cliente29	08/09/2017	1	1700	FRU0025	Lulo / Libra	
Cliente29	08/09/2017	1	1700	FRU0031	Maracuyá / Libra	
Cliente29	08/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente29	08/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	08/09/2017	9	1400	VER0028	Lechuga Crespa / Unidad	
Cliente29	08/09/2017	2	2800	FRU0028	Mango Tommy Atkins / Libra	
Cliente29	08/09/2017	1	3500	FRU0022	Kiwi / Libra	
Cliente29	08/09/2017	1	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	08/09/2017	1	900	VER0035	Pepino Cohombro / Libra	
Cliente29	08/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente29	08/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	08/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	
Cliente29	07/09/2017	1	900	VER0035	Pepino Cohombro / Libra	
Cliente29	07/09/2017	1	1500	FRU0016	Fresa Pareja / Libra	
Cliente29	07/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	
Cliente29	07/09/2017	2	1200	FRU0024	Limón Tahití / Libra	
Cliente29	07/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente29	07/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	07/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	
Cliente21	06/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	
Cliente21	06/09/2017	2	1000	FRU0020	Guayaba Pera / Libra	
Cliente21	06/09/2017	8	1000	VER0052	Plátano Maduro / Libra	
Cliente21	06/09/2017	2	2800	FRU0028	Mango Tommy Atkins / Libra	
Cliente21	06/09/2017	8	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente21	06/09/2017	2	1500	FRU0016	Fresa Pareja / Libra	
Cliente21	06/09/2017	2	7000	VER0016	Champiñón / Libra	
Cliente21	06/09/2017	20	1300	FRU0046	Tomate Chonto / Libra	
Cliente21	06/09/2017	2	1900	VER0009	Brócoli / Libra	
Cliente21	06/09/2017	8	1100	FRU0008	Banano Criollo / Libra	
Cliente29	06/09/2017	3	900	VER0035	Pepino Cohombro / Libra	
Cliente29	06/09/2017	1	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente29	06/09/2017	1	1000	FRU0020	Guayaba Pera / Libra	
Cliente29	06/09/2017	1	1700	FRU0031	Maracuyá / Libra	
Cliente29	06/09/2017	1	1700	FRU0025	Lulo / Libra	
Cliente29	06/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente29	06/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	
Cliente29	06/09/2017	7	1400	VER0028	Lechuga Crespa / Unidad	
Cliente26	05/09/2017	12	1300	FRU0046	Tomate Chonto / Libra	
Cliente26	05/09/2017	8	800	VER0051	Perejil Crespo / 100 gramos	
Cliente26	05/09/2017	3	500	VER0017	Cilantro / 100 gramos	
Cliente26	05/09/2017	4	1200	VER0014	Cebolla Larga / Libra	
Cliente26	05/09/2017	4	1200	VER0007	Berenjena / Libra	
Cliente26	05/09/2017	8	1600	VER0041	Puerro / Libra	
Cliente26	05/09/2017	26	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	05/09/2017	8	1100	VER0010	Zucchini Verde / Libra	
Cliente26	05/09/2017	50	1000	VER0052	Plátano Maduro / Libra	
Cliente26	05/09/2017	12	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente26	05/09/2017	50	1000	TUB0012	Zanahoria / Libra	
Cliente26	05/09/2017	50	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente3	05/09/2017	1	700	VER0049	Yerbabuena / 100 gramos	
Cliente3	05/09/2017	3	900	VER0035	Pepino Cohombro / Libra	
Cliente3	05/09/2017	2	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	05/09/2017	1	1400	VER0020	Espinaca / Libra	
Cliente3	05/09/2017	1	500	VER0017	Cilantro / 100 gramos	
Cliente3	05/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente3	05/09/2017	1	1100	VER0005	Apio / Libra	
Cliente3	05/09/2017	1	900	VER0003	Albahaca / 100 gramos	
Cliente3	05/09/2017	1	5800	VER0002	Ajo Importado / Libra	
Cliente3	05/09/2017	5	1000	TUB0012	Zanahoria / Libra	
Cliente3	05/09/2017	1	1000	TUB0001	Arracacha / Libra	
Cliente3	05/09/2017	3	1300	TUB0005	Papa Criolla / Libra	
Cliente3	05/09/2017	3	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente3	05/09/2017	4	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	05/09/2017	1	4000	FRU0045	Tomate Cherry / Libra	
Cliente26	04/09/2017	4	1300	FRU0046	Tomate Chonto / Libra	
Cliente26	04/09/2017	12	1000	TUB0012	Zanahoria / Libra	
Cliente26	04/09/2017	4	1600	VER0041	Puerro / Libra	
Cliente26	04/09/2017	6	1100	VER0010	Zucchini Verde / Libra	
Cliente26	04/09/2017	18	1000	VER0052	Plátano Maduro / Libra	
Cliente26	04/09/2017	10	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	04/09/2017	2	500	VER0017	Cilantro / 100 gramos	
Cliente26	04/09/2017	4	1200	VER0014	Cebolla Larga / Libra	
Cliente26	04/09/2017	2	1200	VER0007	Berenjena / Libra	
Cliente26	04/09/2017	20	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente3	04/09/2017	2	3500	VER0043	Repollo Morado / Unidad	
Cliente3	04/09/2017	3	1000	VER0040	Plátano Verde / Libra	
Cliente3	04/09/2017	2	900	VER0035	Pepino Cohombro / Libra	
Cliente3	04/09/2017	2	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	04/09/2017	1	1300	VER0024	Habichuela / Libra	
Cliente3	04/09/2017	1	1400	VER0020	Espinaca / Libra	
Cliente3	04/09/2017	1	500	VER0017	Cilantro / 100 gramos	
Cliente3	04/09/2017	2	7000	VER0016	Champiñón / Libra	
Cliente3	04/09/2017	1	1900	VER0009	Brócoli / Libra	
Cliente3	04/09/2017	4	1200	VER0007	Berenjena / Libra	
Cliente3	04/09/2017	3	700	TUB0006	Papa Pastusa / Libra	
Cliente3	04/09/2017	1	1400	TUB0010	Remolacha / Libra	
Cliente3	04/09/2017	1	1000	TUB0001	Arracacha / Libra	
Cliente3	04/09/2017	1	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	04/09/2017	1	1200	FRU0024	Limón Tahití / Libra	
Cliente3	04/09/2017	2	1500	FRU0016	Fresa Pareja / Libra	
Cliente3	04/09/2017	4	1100	FRU0008	Banano Criollo / Libra	
Cliente3	04/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente21	04/09/2017	2	1400	TUB0010	Remolacha / Libra	
Cliente21	04/09/2017	8	1000	TUB0012	Zanahoria / Libra	
Cliente21	04/09/2017	8	1100	VER0010	Zucchini Verde / Libra	
Cliente21	04/09/2017	8	1100	VER0050	Rúgula / Libra	
Cliente21	04/09/2017	2	3500	VER0043	Repollo Morado / Unidad	
Cliente21	04/09/2017	20	1000	VER0052	Plátano Maduro / Libra	
Cliente21	04/09/2017	10	1500	VER0038	Pimentón Rojo / Libra	
Cliente21	04/09/2017	10	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente21	04/09/2017	2	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente21	04/09/2017	20	1300	FRU0046	Tomate Chonto / Libra	
Cliente21	04/09/2017	1	10000	FRU0038	Patilla / Unidad	
Cliente21	04/09/2017	1	2100	FRU0033	Mora Castilla / Libra	
Cliente21	04/09/2017	4	1300	FRU0030	Manzana Verde / Unidad	
Cliente21	04/09/2017	2	2800	FRU0028	Mango Tommy Atkins / Libra	
Cliente21	04/09/2017	1	1200	FRU0024	Limón Tahití / Libra	
Cliente21	04/09/2017	2	3500	FRU0022	Kiwi / Libra	
Cliente21	04/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	
Cliente21	04/09/2017	1	1900	TUB0009	Rábano Rojo / Libra	
Cliente21	04/09/2017	1	700	TUB0006	Papa Pastusa / Libra	
Cliente21	04/09/2017	1	1300	TUB0005	Papa Criolla / Libra	
Cliente21	04/09/2017	2	1000	TUB0001	Arracacha / Libra	
Cliente21	04/09/2017	2	1900	VER0009	Brócoli / Libra	
Cliente21	04/09/2017	1	1100	VER0005	Apio / Libra	
Cliente21	04/09/2017	1	5800	VER0002	Ajo Importado / Libra	
Cliente21	04/09/2017	2	2000	FRU0003	Aguacate Papelillo / Libra	
Cliente26	04/09/2017	40	1200	VER0012	Cebolla Cabezona Blanca / Libra	
Cliente26	03/09/2017	26	1000	TUB0012	Zanahoria / Libra	
Cliente26	03/09/2017	10	1400	FRU0048	Tomate Larga Vida / Libra	
Cliente26	03/09/2017	44	1000	VER0052	Plátano Maduro / Libra	
Cliente26	03/09/2017	6	1100	VER0010	Zucchini Verde / Libra	
